ID,RA,DEC,CLASS_STAR,ELLIPTICITY,ELONGATION,FLUX_RADIUS,FWHM,ISOarea,KRON_RADIUS,MU_MAX,A,u_auto,e_u_auto,J0378_auto,e_J0378_auto,J0395_auto,e_J0395_auto,J0410_auto,e_J0410_auto,J0430_auto,e_J0430_auto,g_auto,e_g_auto,J0515_auto,e_J0515_auto,r_auto,e_r_auto,r_aper_6,r_petro,J0660_auto,e_J0660_auto,i_auto,e_i_auto,J0861_auto,e_J0861_auto,z_auto,e_z_auto,Label
iDR3.SPLUS-s26s32.023805,50.2964888048188,-33.54025510836093,0.025966652,0.42540187,1.7403468,"[0.75997126,1.2705088,1.6425538,2.2265942]",2.5969563,2.0,4.7803926,18.106443,1.1545942,23.150578,1.4928262,21.438702,0.48532638,21.283587,0.6683679,99.0,20.354605,21.5103,0.7487293,23.586222,1.9483687,22.129757,1.701583,21.862904,0.33085516,21.742685,21.835524,22.346012,0.56958157,21.58651,0.3238863,21.636364,0.7210019,23.427588,3.1050973,5
iDR3.SPLUS-s26s32.024700,49.77600864030908,-33.515830037960654,0.0056665833,0.18571216,1.2280669,"[0.8662382,1.529357,2.021012,4.56433]",3.5729947,7.0,4.977566,17.815289,1.1459723,99.0,21.322935,21.096733,0.43522057,20.789558,0.5219758,21.804592,1.2655343,23.156199,4.1854753,22.522467,0.90581363,22.10975,2.0619538,21.472057,0.28499994,21.3525,21.249966,20.854338,0.18000518,20.917973,0.21783265,20.818464,0.42327964,20.968111,0.40258366,5
iDR3.SPLUS-s26s32.001085,50.1489026596701,-34.2366284039221,0.34649074,0.32855725,1.4893303,"[0.9934344,1.7422947,2.385821,3.5152738]",2.8788054,2.0,4.6368833,18.054739,1.2660971,24.188763,4.224168,99.0,21.004707,22.078522,1.503234,99.0,20.354605,21.945782,1.2919625,22.573229,0.8908076,99.0,20.105696,22.102869,0.46849206,21.958406,22.164398,22.513975,0.75585014,21.359436,0.30603826,21.023996,0.48123145,21.52808,0.63381773,5
iDR3.SPLUS-s26s32.025335,50.3612836293308,-33.497689741555,0.2590717,0.15098405,1.1778342,"[1.0653782,2.3684146,3.1681814,4.0618796]",2.9615235,4.0,4.988902,17.805109,1.3608208,99.0,21.322935,22.671043,2.2259486,99.0,20.218988,21.807098,1.5400026,99.0,20.543228,22.04759,0.7111976,23.030996,5.839444,21.458616,0.3408479,21.485565,21.454258,21.74532,0.4906104,20.626995,0.20167878,20.33077,0.32693723,20.89127,0.45327812,5
iDR3.SPLUS-s26s32.025370,50.8249006943013,-33.494727325705014,0.43032467,0.3975861,1.6599883,"[0.9869323,1.6968503,2.4555545,3.420429]",6.053028,1.0,4.8520374,18.115093,1.307816,23.086464,1.5980691,99.0,21.004707,20.974957,0.57143646,99.0,20.354605,22.953499,3.322062,22.782568,1.1001818,21.440825,1.069142,21.94796,0.41244307,22.37286,22.789341,22.357447,0.66433233,21.588535,0.38130707,20.305876,0.25102708,21.423153,0.5785989,5
iDR3.SPLUS-s26s32.026101,49.93828513113955,-33.47588278981582,0.042444643,0.17278928,1.2088819,"[1.2187618,2.0873127,2.6350174,3.1732085]",7.21867,6.0,5.1637206,17.936064,1.4346685,99.0,21.322935,20.674566,0.3926467,20.95345,0.8041432,99.0,20.354605,99.0,20.543228,25.005442,11.789204,20.654465,0.71897554,21.307026,0.32356146,21.43157,21.270245,20.82227,0.23005486,20.578812,0.20979077,19.697392,0.19944686,20.271437,0.27940652,5
iDR3.SPLUS-s26s32.026726,50.42133893447698,-33.45766424292488,0.06828254,0.41673958,1.7145,"[0.9067693,1.395738,1.7014563,1.9829415]",5.835402,4.0,4.9097624,18.002556,1.2819805,24.360846,5.240385,99.0,21.004707,99.0,20.218988,99.0,20.354605,21.679583,1.015883,99.0,21.540142,99.0,20.105696,22.115873,0.48329404,22.218771,22.291811,99.0,21.64573,21.528885,0.35836482,26.068228,49.68454,21.277472,0.5021668,5
iDR3.SPLUS-s26s32.002779,49.89655185504402,-34.188609979785284,0.4700935,0.24685884,1.3277724,"[0.9204596,1.8085921,2.384294,3.3107207]",3.492025,4.0,4.8929334,17.787355,1.2289171,24.03432,3.9780974,21.42807,0.5662606,99.0,20.218988,21.357533,0.8515083,22.225164,1.8027108,22.426811,0.84090495,99.0,20.105696,21.497246,0.2912625,21.399946,21.323946,21.132479,0.2313577,20.697113,0.18130374,20.2548,0.25765932,21.068825,0.44984773,5
iDR3.SPLUS-s26s32.026996,50.71625510780552,-33.448442915567554,0.006811971,0.14811575,1.1738684,"[0.9251558,1.6506033,2.3610432,3.1076694]",7.1679,7.0,5.1834574,17.882164,1.299833,21.780811,0.601788,21.333263,0.62140745,99.0,20.218988,22.2971,2.3615313,99.0,20.543228,22.690962,1.2556009,99.0,20.105696,21.413897,0.31522876,21.371838,21.482977,21.362852,0.33309284,20.716564,0.2139175,20.427305,0.34917977,21.128296,0.5509277,5
iDR3.SPLUS-s26s32.027257,50.57872504001483,-33.44072870863495,0.39328632,0.5111214,2.0454974,"[0.7597283,1.3478949,1.8673398,2.46043]",4.0647855,3.0,4.901896,18.065767,0.9827703,99.0,21.322935,23.695185,2.9222245,22.693098,1.8520069,99.0,20.354605,22.098946,1.00584,28.375992,125.262665,99.0,20.105696,22.189476,0.34612045,22.087236,22.072277,99.0,21.64573,22.301373,0.4898486,21.551525,0.5248277,21.226505,0.32308185,5
iDR3.SPLUS-s26s32.003299,49.61750969309883,-34.17149381186262,0.249177,0.18735951,1.2305565,"[0.6117717,1.1267349,1.455819,2.2389219]",3.4868166,3.0,4.956173,18.018261,0.9114439,99.0,21.322935,22.410563,1.0619028,22.529379,1.8806773,22.560684,1.9682926,99.0,20.543228,22.95428,1.0461833,99.0,20.105696,22.097334,0.38734117,23.053446,22.109013,22.647675,0.70941216,22.282333,0.5934517,21.110668,0.4332192,21.918251,0.7530669,5
iDR3.SPLUS-s26s32.003767,49.773603006955945,-34.157225663535854,0.4707169,0.36711735,1.5800718,"[0.7433042,1.232536,1.6016009,2.0245905]",4.502876,2.0,4.831601,18.02182,1.2396452,99.0,21.322935,22.268383,1.0819197,21.2779,0.69475293,99.0,20.354605,21.487782,0.81254834,22.737371,0.9906604,20.640139,0.48507017,21.84521,0.35673082,21.870306,22.165598,22.665695,0.83711463,22.950344,1.2698963,22.279451,1.4655912,21.849773,0.8196689,5
iDR3.SPLUS-s26s32.004257,50.72070794830151,-34.141851462006336,0.03764141,0.26711625,1.3644729,"[0.9332304,1.6010478,2.3015852,3.8564403]",6.227854,4.0,4.7950535,18.065578,1.219499,21.773937,0.47441438,99.0,21.004707,99.0,20.218988,99.0,20.354605,21.093884,0.61789465,25.207436,10.487414,21.768559,1.4770565,21.968264,0.4245363,21.92806,22.057585,21.580866,0.32991272,21.052818,0.2391657,22.235636,1.5171529,21.06754,0.43064782,5
iDR3.SPLUS-s26s32.028458,49.60032434819502,-33.40388276042096,0.059251122,0.26078796,1.3527918,"[0.7369812,1.3594795,2.017181,2.760471]",2.8894434,3.0,5.1916533,18.11556,0.95815897,99.0,21.322935,21.676764,0.5884026,99.0,20.218988,24.004848,7.764269,99.0,20.543228,21.826008,0.38909322,99.0,20.105696,21.878675,0.33470297,22.607283,23.16268,23.466116,1.5867615,24.201817,3.632211,99.0,20.704803,21.992847,0.8438548,5
iDR3.SPLUS-s26s32.004758,50.090774316182525,-34.12850048032729,0.05873369,0.21857715,1.2797168,"[0.92741156,1.4987477,1.894833,2.5275]",5.859753,3.0,4.8446407,18.092539,1.1121217,26.265673,27.05395,22.762754,1.6778883,23.491661,5.210849,22.378883,1.8985804,21.472792,0.7906396,22.708454,0.95153254,22.61982,2.9163947,21.887403,0.36613348,21.858028,21.737144,21.772472,0.365029,22.420448,0.76771265,20.758581,0.35840002,21.046959,0.3867807,5
iDR3.SPLUS-s26s32.028911,49.346931939281546,-33.38904243728039,0.05973743,0.38561875,1.6276538,"[0.91943765,2.0391593,2.9585836,1.8698988]",3.1272137,3.0,4.7738185,18.028769,1.1189226,22.359213,0.6939419,22.342047,1.0624555,21.426552,0.73095256,23.277073,3.999543,22.903902,2.711326,25.009935,7.291101,99.0,20.105696,21.795618,0.30883095,22.012135,21.812723,22.457966,0.6263217,21.13041,0.21764095,22.266335,1.306504,20.932907,0.31899956,5
iDR3.SPLUS-s26s32.029518,49.63984957246499,-33.37252594746593,0.32660282,0.4923228,1.9697555,"[0.8480124,1.5923983,2.1752722,3.013365]",3.7648551,3.0,5.084669,17.952213,1.4691132,22.167213,0.7501189,21.807838,0.8395711,22.378231,2.25058,99.0,20.354605,21.493593,0.9320302,23.716558,2.784046,20.219908,0.37737343,21.782206,0.38679987,22.27465,21.924475,21.782204,0.42822757,21.376373,0.34240252,20.393414,0.29648796,20.790928,0.3535653,5
iDR3.SPLUS-s26s32.030184,49.56136995620938,-33.35221469366622,0.009983955,0.033893645,1.0350827,"[0.91855484,1.5511968,2.1468663,2.8720171]",6.56906,5.0,4.772577,18.05505,1.1196266,99.0,21.322935,99.0,21.004707,22.243198,1.9414303,22.99926,3.836925,99.0,20.543228,21.701942,0.43180817,99.0,20.105696,21.950567,0.44386438,21.987883,21.86049,21.821196,0.43651628,21.287888,0.31218153,20.747581,0.40502322,21.314709,0.56505877,5
iDR3.SPLUS-s26s32.006031,49.26403752845109,-34.086890365219034,0.042926375,0.3058408,1.4405917,"[0.8934862,1.713346,2.2456794,2.9782038]",6.938684,5.0,5.1020885,17.832129,1.3943548,22.861822,1.519296,21.046938,0.4481592,22.908844,3.924966,22.059875,1.8856009,99.0,20.543228,21.795132,0.5476441,20.166899,0.41191378,21.508198,0.33796558,21.36826,21.640207,21.216297,0.28659278,21.366627,0.3858527,99.0,20.704803,20.975555,0.47220257,5
iDR3.SPLUS-s26s32.006368,49.17415695329907,-34.07545955318595,0.06993273,0.4676128,1.8783321,"[0.7794353,1.6429452,2.6119597,6.0335584]",2.650707,4.0,4.853695,17.999578,1.184626,25.595942,13.048068,25.33584,15.985751,99.0,20.218988,24.98743,19.86139,25.270046,24.611816,22.335281,0.6418054,99.0,20.105696,21.750788,0.30232027,21.81874,22.384766,27.877508,93.446815,23.246021,1.5419409,99.0,20.704803,20.80231,0.28541997,5
iDR3.SPLUS-s26s32.007126,50.41849733482318,-34.05114772964574,0.28741428,0.43546772,1.7713779,"[1.1056505,2.1393573,3.0965176,3.890946]",5.605952,2.0,4.5129857,18.124058,1.2525852,21.748093,0.40283307,99.0,21.004707,99.0,20.218988,99.0,20.354605,22.851881,2.634104,22.42826,0.6921678,20.95027,0.5971357,22.168846,0.4456195,22.210476,23.127306,21.562063,0.28371355,21.288155,0.25601375,22.180786,1.2400025,20.83705,0.29994884,5
iDR3.SPLUS-s26s32.031640,50.132251926773606,-33.310032357054965,0.43243647,0.1395061,1.1621233,"[0.8115461,1.4143575,1.8067615,2.248185]",5.197546,1.0,5.2961855,18.17905,0.94183946,21.963362,0.56032634,22.828093,1.9250808,22.644768,2.5855258,21.900803,1.2481669,99.0,20.543228,22.836563,1.0910676,21.896502,1.5315568,21.944036,0.39690128,22.0005,22.045153,22.544645,0.7615299,22.721512,1.0256734,21.182205,0.5315899,21.383583,0.53032255,5
