ID,RA,DEC,CLASS_STAR,ELLIPTICITY,ELONGATION,FLUX_RADIUS,FWHM,ISOarea,KRON_RADIUS,MU_MAX,A,u_auto,e_u_auto,J0378_auto,e_J0378_auto,J0395_auto,e_J0395_auto,J0410_auto,e_J0410_auto,J0430_auto,e_J0430_auto,g_auto,e_g_auto,J0515_auto,e_J0515_auto,r_auto,e_r_auto,r_aper_6,r_petro,J0660_auto,e_J0660_auto,i_auto,e_i_auto,J0861_auto,e_J0861_auto,z_auto,e_z_auto,Label
iDR3.SPLUS-s26s32.000008,49.31341512573229,-34.26584881027992,0.4338684,0.352022,1.5432622,"[0.6000576,0.9611582,1.1680652,1.3863915]",0.0,1.0,1.8685563,18.220451,0.771268,99.0,21.322935,99.0,21.004707,99.0,20.218988,23.62056,1.8581,99.0,20.543228,23.10627,0.43349794,23.06655,1.3884764,22.788519,0.26123655,24.055513,22.765034,99.0,21.64573,23.05867,0.43120664,99.0,20.704803,23.155216,0.82400835,4
iDR3.SPLUS-s26s32.000017,49.332295309990855,-34.26556716890361,0.48642296,0.5688058,2.3191407,"[0.70636857,1.085807,1.738991,4.5617595]",0.0,1.0,1.82,18.307577,1.1468242,99.0,21.322935,99.0,21.004707,99.0,20.218988,99.0,20.354605,22.491226,0.68826735,23.10308,0.4653584,24.378908,4.940392,22.994753,0.33764073,24.08514,24.567144,24.782696,1.8990997,21.944042,0.17093329,23.077866,0.9999005,23.298592,1.0138054,4
iDR3.SPLUS-s26s32.000026,49.28052829107665,-34.26504160657634,0.43227667,0.58770573,2.425452,"[0.59589374,0.9693328,1.151322,1.3471371]",2.9085398,1.0,1.82,18.17437,0.77617466,23.388361,0.48262027,24.322617,1.7349266,99.0,20.218988,99.0,20.354605,99.0,20.543228,23.758726,0.64492285,22.532516,0.71711004,23.40019,0.37465322,23.021471,22.314892,24.285414,0.92191917,23.768883,0.67663443,23.118351,0.7884835,22.161196,0.27432913,4
iDR3.SPLUS-s26s32.000040,49.49472316510503,-34.265465101124455,0.37001345,0.53743756,2.1618705,"[0.6657461,1.1101924,1.3852452,1.6375865]",0.0,0.0,1.82,17.917833,1.0148041,99.0,21.322935,99.0,21.004707,23.52882,1.7784747,99.0,20.354605,22.313162,0.5840739,24.182451,1.2358238,22.572197,0.9539687,23.453154,0.50850064,21.89852,22.644035,99.0,21.64573,22.156116,0.20513427,99.0,20.704803,22.942755,0.729693,4
iDR3.SPLUS-s26s32.000045,49.55494859448341,-34.2656212158151,0.34811547,0.44552493,1.8035076,"[0.59663785,0.96093774,1.1107936,1.250979]",0.0,0.0,1.82,18.488766,0.98432416,99.0,21.322935,26.360353,12.654114,26.129036,16.263004,23.252739,1.2026443,23.770239,1.8383876,23.39155,0.50746334,22.666338,0.88001925,24.778555,1.43675,22.919844,22.703495,24.729311,1.5207913,23.00409,0.37148,22.748123,0.6238123,22.940802,0.61434513,4
iDR3.SPLUS-s26s32.000053,49.71697145400368,-34.265541055588784,0.13458103,0.40540206,1.6818087,"[0.4547067,0.78282136,0.9607834,1.1635616]",3.4103978,2.0,1.82,18.305458,0.75219244,99.0,21.322935,99.0,21.004707,99.0,20.218988,99.0,20.354605,26.161736,16.325531,23.00009,0.3542324,27.068192,48.427284,23.07868,0.3075713,22.682308,22.776495,99.0,21.64573,23.1311,0.41423884,99.0,20.704803,25.146877,4.621016,4
iDR3.SPLUS-s26s32.000057,49.72345971262492,-34.26528352755327,0.22769487,0.21244997,1.2697606,"[0.49815655,0.9332766,1.2254674,1.4788303]",2.8469982,3.0,1.82,17.897839,0.8375582,99.0,21.322935,99.0,21.004707,99.0,20.218988,99.0,20.354605,22.324615,0.61520386,28.019693,43.96712,24.454044,5.5053115,23.271805,0.4568713,99.0,99.0,22.80411,0.33258766,21.914307,0.1735032,21.49119,0.25043386,22.032574,0.33573267,4
iDR3.SPLUS-s26s32.000076,49.84163251713824,-34.264943473704655,0.4258242,0.18727052,1.2304217,"[0.42588153,0.8461126,1.1587728,1.4340557]",4.48521,1.0,1.82,17.935432,0.8388744,99.0,21.322935,99.0,21.004707,26.99324,42.615124,21.87357,0.4042155,99.0,20.543228,22.802675,0.34539178,24.373182,4.777516,23.089634,0.363839,23.984415,23.730406,99.0,21.64573,22.887676,0.38956046,22.451649,0.55651397,23.245146,0.94934905,4
iDR3.SPLUS-s26s32.000105,49.17559582064107,-34.260791640255185,0.3320867,0.22444671,1.2894021,"[0.6170712,1.0489459,1.3755937,1.7328556]",6.161913,3.0,1.82,17.972235,1.1730849,25.997017,8.743395,99.0,21.004707,25.051924,9.071947,99.0,20.354605,99.0,20.543228,25.315159,4.6158113,26.376932,40.774914,22.904024,0.407591,21.934578,21.994183,99.0,21.64573,22.04314,0.24141887,26.037355,19.684725,21.844381,0.34804493,4
iDR3.SPLUS-s26s32.000109,49.67299954836714,-34.26305318835213,0.34831324,0.2521333,1.3371367,"[0.45545253,0.85079867,1.0605235,1.2565594]",0.0,0.0,1.82,18.463047,0.7550539,99.0,21.322935,99.0,21.004707,99.0,20.218988,23.011978,1.0475153,99.0,20.543228,24.080992,1.0277909,99.0,20.105696,25.221664,2.3528614,25.483833,24.686354,99.0,21.64573,23.539955,0.65551513,22.145798,0.39378104,21.928436,0.26687142,4
iDR3.SPLUS-s26s32.000111,49.80981628902001,-34.26325048860789,0.3476044,0.38405573,1.6235235,"[0.41307425,0.68851745,0.85249156,1.0072811]",0.0,0.0,1.82,18.575788,0.687065,99.0,21.322935,99.0,21.004707,99.0,20.218988,99.0,20.354605,99.0,20.543228,99.0,21.540142,99.0,20.105696,24.314165,0.840213,99.0,99.0,99.0,21.64573,23.112549,0.3651975,99.0,20.704803,22.970535,0.56182176,4
iDR3.SPLUS-s26s32.000113,49.2457139888508,-34.260822348219115,0.07333104,0.22494048,1.2902235,"[0.75638247,1.1638659,1.3814464,1.5918405]",0.0,1.0,1.82,18.261795,0.8548903,99.0,21.322935,23.752016,1.3562996,24.312708,3.5894365,99.0,20.354605,22.960821,1.0543358,22.732908,0.33459657,21.632227,0.42039073,23.293163,0.44399878,22.195602,22.777004,23.390074,0.53713,22.701962,0.33750045,99.0,20.704803,22.541971,0.5070759,4
iDR3.SPLUS-s26s32.000138,50.185226242510886,-34.26236789769943,0.42671052,0.3668846,1.5794909,"[0.5135869,0.8869953,1.0650246,1.316858]",0.5322677,1.0,1.82,17.98148,0.78689027,26.596169,11.04874,99.0,21.004707,99.0,20.218988,99.0,20.354605,23.531643,1.597803,22.389368,0.22336051,23.133804,1.4398577,24.125511,0.86401343,22.818348,22.740402,99.0,21.64573,23.53291,0.6481942,99.0,20.704803,23.223755,0.86413115,4
iDR3.SPLUS-s26s32.000152,50.26235077719721,-34.26143081406848,0.36861888,0.4581641,1.8455774,"[0.84000236,1.3137518,1.5623667,1.8604541]",5.6588316,3.0,1.82,17.516094,1.2904239,27.080387,24.35927,99.0,21.004707,99.0,20.218988,99.0,20.354605,99.0,20.543228,23.874472,1.1962236,21.651003,0.5316808,22.475723,0.27127132,21.711554,22.02758,99.0,21.64573,21.610672,0.15990424,22.484709,0.74735767,21.243519,0.20028162,4
iDR3.SPLUS-s26s32.000158,50.07144033871877,-34.26142101878299,0.3470634,0.41800755,1.7182354,"[0.60719776,0.9288797,1.0648769,1.195737]",0.0,0.0,1.82,18.744465,0.7692229,99.0,21.322935,99.0,21.004707,99.0,20.218988,99.0,20.354605,23.159725,1.0423635,23.503103,0.5535157,22.78946,0.9685036,24.05851,0.743388,99.0,99.0,99.0,21.64573,23.218285,0.4459413,99.0,20.704803,24.561716,2.6923141,4
iDR3.SPLUS-s26s32.000173,49.64319403453992,-34.2602579724812,0.09061971,0.017002344,1.0172964,"[0.50950676,0.77924323,0.93458027,1.0976948]",2.9140346,1.0,1.82,18.384663,0.50357264,99.0,21.322935,99.0,21.004707,99.0,20.218988,99.0,20.354605,99.0,20.543228,27.777803,25.033047,99.0,20.105696,23.129456,0.29011047,21.435547,22.286901,24.516012,1.1193976,23.651413,0.5955563,99.0,20.704803,22.403582,0.33729163,4
iDR3.SPLUS-s26s32.000181,49.73845454131333,-34.260250096786535,0.3159069,0.2036655,1.2557538,"[0.68462616,1.0931572,1.3380084,1.6257764]",6.002974,3.0,1.82,17.850702,1.128207,23.63701,1.035846,23.675385,1.667816,99.0,20.218988,99.0,20.354605,22.392841,0.79420036,22.398394,0.3108749,21.417051,0.4305966,22.398022,0.25241715,21.779467,22.151556,23.00239,0.4824945,22.20351,0.27220997,21.52211,0.31171098,22.285381,0.51516527,4
iDR3.SPLUS-s26s32.000186,49.65813296159404,-34.259764452869256,0.4849297,0.14431018,1.1686478,"[0.7185183,1.0916018,1.3063215,1.5258453]",5.722005,2.0,1.82,17.86297,1.0381421,99.0,21.322935,99.0,21.004707,99.0,20.218988,99.0,20.354605,99.0,20.543228,24.683388,2.055433,99.0,20.105696,22.315384,0.19428371,21.731682,21.729282,22.7077,0.30549237,22.287952,0.2427648,22.188374,0.46948978,21.855652,0.28689095,4
iDR3.SPLUS-s26s32.000187,49.40955063885554,-34.258723786945005,0.044994537,0.23451817,1.3063667,"[0.71161073,1.1518708,1.3996631,1.6638612]",5.768776,6.0,1.82,18.028057,1.106447,23.716988,0.967954,99.0,21.004707,21.927187,0.47558147,99.0,20.354605,22.247034,0.61986613,23.066277,0.5056744,24.870567,8.7420435,22.376614,0.21792696,21.566708,21.45187,22.845242,0.3675067,21.70898,0.15499528,21.749205,0.33756605,21.67748,0.26095027,4
iDR3.SPLUS-s26s32.000196,49.42123767291817,-34.258426994110906,0.48380345,0.037639797,1.039112,"[0.5201657,0.7946265,0.94432026,1.0869473]",0.0,1.0,1.82,18.326433,0.50779176,24.500368,1.3292891,99.0,21.004707,99.0,20.218988,99.0,20.354605,23.912024,1.8900683,23.79638,0.66199964,22.498186,0.6906246,23.03841,0.26933253,99.0,23.020159,99.0,21.64573,23.473011,0.51293063,99.0,20.704803,23.399384,0.8409538,4
iDR3.SPLUS-s26s32.000209,49.48979147374003,-34.25845051840186,0.4320199,0.58805656,2.4275177,"[0.57938987,0.9403523,1.1091874,1.320094]",0.0,0.0,1.82,18.439276,0.97969234,24.306208,1.3577043,24.291471,2.0823689,23.932077,2.381012,21.694103,0.32964194,24.189167,2.969735,23.486666,0.6082899,24.388227,4.595238,23.34178,0.42702198,21.819328,22.234009,23.667969,0.63536936,22.92875,0.38124004,99.0,20.704803,22.723396,0.5538008,4
iDR3.SPLUS-s26s32.000218,49.89401041319317,-34.25935353161593,0.34807715,0.41817188,1.7187207,"[0.5869616,1.06625,1.3797276,1.7045448]",0.0,0.0,1.82,18.49415,1.0093696,99.0,21.322935,26.390467,16.449879,22.153242,0.5492838,23.264408,1.5033193,23.264292,1.4363947,23.847057,0.94901806,99.0,20.105696,23.773481,0.72080857,99.0,23.515398,99.0,21.64573,22.429203,0.274675,99.0,20.704803,22.390953,0.46463555,4
iDR3.SPLUS-s26s32.000226,49.56964665755587,-34.25817098515568,0.3471762,0.037395537,1.0388483,"[0.51231664,0.78108746,0.9386167,1.0719165]",0.0,0.0,1.82,18.696074,0.5091663,23.279259,0.44285133,25.467587,4.989539,99.0,20.218988,22.757431,0.6934108,24.876745,4.5269094,23.729378,0.6184379,22.397675,0.6281722,24.500715,0.9993789,99.0,99.0,25.164438,2.028033,23.565315,0.55394214,23.227026,0.8642394,23.681057,1.0822424,4
