ID,RA,DEC,CLASS_STAR,ELLIPTICITY,ELONGATION,FLUX_RADIUS,FWHM,ISOarea,KRON_RADIUS,MU_MAX,A,u_auto,e_u_auto,J0378_auto,e_J0378_auto,J0395_auto,e_J0395_auto,J0410_auto,e_J0410_auto,J0430_auto,e_J0430_auto,g_auto,e_g_auto,J0515_auto,e_J0515_auto,r_auto,e_r_auto,r_aper_6,r_petro,J0660_auto,e_J0660_auto,i_auto,e_i_auto,J0861_auto,e_J0861_auto,z_auto,e_z_auto,Label,P(Group_6)
iDR3.SPLUS-s25s32.026407,49.33997596634403,-32.16485601686862,0.38408035,0.31412143,1.457984,"[1.4053117,2.5223176,3.4489,6.4702682]",7.5500784,3.0,6.7752137,18.477526,1.5251343,99.0,21.589981,21.035908,0.53157586,22.609238,3.824866,21.787043,1.5887257,21.904053,1.7333968,24.62161,6.9213653,23.271566,4.651192,21.079954,0.24829571,21.948872,21.103935,22.215336,0.71968204,21.275383,0.39179108,20.52123,0.42543086,21.138212,0.6239486,6,0.7346099083669705
iDR3.SPLUS-s25s32.026409,49.08047557004356,-32.164336116219886,0.34999058,0.16589934,1.198896,"[1.0311346,2.5158496,4.8851457,5.4005857]",3.641672,3.0,7.6573462,18.300554,0.9000976,21.891525,0.51211196,99.0,21.002748,20.491608,0.39673108,21.456774,0.8515523,99.0,20.803356,23.486212,1.7625246,24.603468,11.470208,21.869385,0.37108472,21.858053,22.164719,21.691938,0.32375062,22.801233,1.1608218,21.116407,0.5363781,20.700783,0.30485636,6,0.7013506372612945
iDR3.SPLUS-s25s32.026425,49.41268452063494,-32.16398139616511,0.35036966,0.20497203,1.2578174,"[1.1565359,2.3516445,3.1815097,6.81027]",4.0918493,4.0,7.0140357,18.131401,1.3009276,23.254795,2.3963776,99.0,21.002748,22.326834,2.84307,99.0,20.54751,23.758509,9.181661,21.933561,0.5622909,22.553112,2.310387,21.555527,0.36936632,21.909029,21.823847,22.452919,0.86162204,21.080072,0.31491363,20.51449,0.40638295,20.67977,0.39349008,6,0.6018538326816442
iDR3.SPLUS-s25s32.026441,48.543144068047255,-32.16093975273513,0.099293135,0.056266665,1.0596213,"[1.1339816,2.1135075,2.75335,5.2281575]",4.8508697,15.0,6.8079767,17.827093,1.4425198,25.697655,23.865585,23.525997,5.29607,25.561989,58.709976,21.096117,0.95465183,99.0,20.803356,21.640375,0.5059006,20.653982,0.47630826,21.03073,0.2626098,21.364952,21.484116,21.20724,0.3163845,20.671488,0.25556198,19.88189,0.26482713,20.331558,0.33265305,6,0.6212962871205049
iDR3.SPLUS-s25s32.026480,49.65137580772903,-32.1625011558566,0.40592977,0.17541307,1.2127285,"[0.9762186,1.7715513,2.496673,5.7239814]",4.612575,7.0,6.7932725,18.019735,1.1893593,21.344002,0.36846283,21.494144,0.6911418,99.0,20.432768,21.472162,1.0199466,21.776258,1.3208567,22.212893,0.6471897,99.0,21.03316,21.65771,0.3613789,21.946106,21.715586,21.185575,0.24097796,21.374659,0.36851835,20.853062,0.49463323,20.44807,0.28388107,6,0.9010552211249868
iDR3.SPLUS-s25s32.026488,50.0370788415193,-32.160663532183584,0.072761,0.21982169,1.2817583,"[0.9880283,1.6732914,2.148069,2.696963]",4.6066036,11.0,7.8963585,18.120543,1.6381416,21.680809,0.73694944,22.165684,1.884638,99.0,20.432768,99.0,20.54751,99.0,20.803356,22.403816,1.1751671,21.236532,0.93543667,22.010702,0.74707776,21.923717,22.09395,22.442846,1.1379478,20.968943,0.3860295,20.564093,0.5766921,20.371939,0.40244725,6,0.6280309215366853
iDR3.SPLUS-s25s32.026501,49.98659954880588,-32.16044126893815,0.28740835,0.14412314,1.1683923,"[1.5360858,2.5471618,3.5324206,5.7427135]",8.147742,4.0,7.4180355,18.429964,1.4724685,22.049713,0.9294654,21.766294,1.1734586,21.321463,1.3251624,21.378178,1.2705324,99.0,20.803356,21.182487,0.34160545,21.365683,0.9392224,21.327454,0.35798296,21.446447,21.356539,21.124475,0.30469316,21.312025,0.47288373,19.999922,0.30737418,21.03562,0.6621104,6,0.8115653714366462
iDR3.SPLUS-s25s32.026505,48.598918643253,-32.1593441373279,0.021189287,0.49852103,1.9941015,"[1.0603123,1.7790663,2.228234,2.7298331]",7.6484027,1.0,7.454644,18.492992,1.8066608,21.465866,0.4986915,21.651464,0.967754,99.0,20.432768,20.64543,0.624665,99.0,20.803356,99.0,21.97403,21.40817,0.9400496,22.114527,0.7029515,21.484612,22.01815,21.696753,0.49075013,21.067356,0.3645532,22.11212,2.047943,21.102716,0.67404974,6,0.5245888568880196
iDR3.SPLUS-s25s32.026551,49.95179780220009,-32.15925108089646,0.35037038,0.22897124,1.2969685,"[1.5038372,3.420085,6.211181,8.042259]",7.369973,4.0,7.2493834,18.146187,1.4044422,22.113338,0.87821096,99.0,21.002748,21.72826,1.7157831,21.754204,1.5992773,23.50709,7.858431,21.089943,0.28001526,20.190647,0.28606558,21.088598,0.25657016,21.367188,20.999058,20.728249,0.18954302,21.68322,0.592609,20.194376,0.32752895,20.512354,0.36474836,6,0.7210747936113305
iDR3.SPLUS-s25s32.026654,49.30231122952653,-32.15679087058947,0.07340261,0.2901919,1.4088315,"[1.3426825,2.3392406,3.1847749,4.086502]",9.732762,6.0,8.361504,18.363865,1.9292803,21.911407,1.1508214,99.0,21.002748,21.60579,2.4197786,20.807922,1.0278001,22.201775,3.6288965,22.687613,1.859294,20.901278,0.8373055,21.591148,0.629841,21.940653,22.131731,20.975203,0.36645076,20.480099,0.30002943,21.229301,1.2968521,19.824888,0.2969159,6,0.5617095039233405
