ID,RA,DEC,CLASS_STAR,ELLIPTICITY,ELONGATION,FLUX_RADIUS,FWHM,ISOarea,KRON_RADIUS,MU_MAX,A,u_auto,e_u_auto,J0378_auto,e_J0378_auto,J0395_auto,e_J0395_auto,J0410_auto,e_J0410_auto,J0430_auto,e_J0430_auto,g_auto,e_g_auto,J0515_auto,e_J0515_auto,r_auto,e_r_auto,r_aper_6,r_petro,J0660_auto,e_J0660_auto,i_auto,e_i_auto,J0861_auto,e_J0861_auto,z_auto,e_z_auto,Label
iDR3.SPLUS-s26s32.024055,49.53648360434142,-33.53224968400424,0.34680358,0.38265204,1.6198319,"[-0.18031439,-0.450786,-0.63110036,-0.8114147]",0.0,0.0,0.0,18.937672,0.7444654,22.89127,1.317351,22.613598,1.5885984,99.0,20.218988,25.168785,25.922613,22.07398,1.4370953,99.0,21.540142,99.0,20.105696,23.33542,1.4544889,23.740541,23.151297,99.0,21.64573,22.543568,0.90131015,21.494452,0.7337353,22.559708,1.6210557,0
iDR3.SPLUS-s26s32.024314,50.21945972359006,-33.52594988098115,0.061575893,0.5018004,2.007228,"[-0.8106375,-2.0265937,-2.8372312,-3.6478684]",5.6282454,2.0,0.0,18.363138,1.3385881,99.0,21.322935,99.0,21.004707,21.384565,1.5216796,21.083458,1.0972799,99.0,20.543228,25.42367,22.045357,99.0,20.105696,22.61477,1.3687848,22.576855,22.330393,99.0,21.64573,99.0,21.615364,99.0,20.704803,99.0,21.080645,0
iDR3.SPLUS-s26s32.025189,49.20091779806179,-33.49924952411071,0.3471882,0.61251307,2.580732,"[0.,0.,0.,0.]",0.0,0.0,0.0,18.691534,0.8027318,99.0,21.322935,99.0,21.004707,21.131006,0.61552817,21.181019,0.6615609,21.875364,1.1931062,24.384716,4.6412163,99.0,20.105696,24.041061,2.7288046,22.447355,24.615002,21.706045,0.35451162,24.670555,6.3126707,99.0,20.704803,99.0,21.080645,0
iDR3.SPLUS-s26s32.025237,50.20497585921746,-33.50093444932921,0.3473272,0.023885667,1.0244702,"[0.,0.,0.,0.]",0.0,0.0,0.0,18.645218,0.5057042,99.0,21.322935,21.557175,0.6431537,99.0,20.218988,99.0,20.354605,99.0,20.543228,22.313698,0.7191453,20.8281,0.615037,24.864082,6.1881194,99.0,23.635794,23.772118,2.5065544,99.0,21.615364,99.0,20.704803,99.0,21.080645,0
iDR3.SPLUS-s26s32.025312,49.18419009143184,-33.49569938449966,0.34686527,0.60437113,2.5276215,"[0.,0.,0.,0.]",0.0,0.0,0.0,18.873178,0.79429847,24.475985,4.921428,21.469461,0.48627377,99.0,20.218988,99.0,20.354605,99.0,20.543228,99.0,21.540142,20.96095,0.6365532,23.882862,2.2409546,24.86572,99.0,99.0,21.64573,23.191917,1.5356534,22.541803,1.7762529,99.0,21.080645,0
iDR3.SPLUS-s26s32.025330,49.182550663999606,-33.49507416625535,0.039561857,0.44242358,1.793476,"[,-5.0086923,-12.52173,-17.530422,-22.539114]",0.0,0.0,0.0,18.734833,1.2906972,21.338785,0.64221984,21.6181,1.2917585,19.730272,0.36367008,19.98761,0.48952514,19.929749,0.4435591,21.788336,0.94727266,22.386976,5.464085,22.246187,1.1619945,22.532919,22.24179,99.0,21.64573,99.0,21.615364,99.0,20.704803,99.0,21.080645,0
iDR3.SPLUS-s26s32.025708,49.18116944359896,-33.4845783676756,0.32709372,0.32774895,1.4875395,"[,-4.2722096,-10.680524,-14.952733,-19.224941]",7.2125444,1.0,0.0,18.087866,1.4722549,27.060516,114.75091,20.23461,0.3352399,19.92384,0.40066501,22.499119,4.539472,21.910685,2.5232599,22.994911,2.6511602,21.086637,1.5241922,22.166065,0.99538714,22.148714,22.257315,20.531378,0.24570301,22.62687,1.9682807,99.0,20.704803,99.0,21.080645,0
iDR3.SPLUS-s26s32.026768,49.18303146297964,-33.45415190637635,0.04708526,0.21461129,1.2732549,"[0.,0.,0.,0.]",4.4172177,2.0,0.0,18.43794,0.84072703,22.450603,0.7879042,29.297438,668.26086,21.427406,0.76350945,20.828354,0.47087252,22.706509,2.510412,22.567133,0.8561531,99.0,20.105696,22.956306,0.9852438,22.798212,22.939611,99.0,21.64573,99.0,21.615364,99.0,20.704803,23.082754,2.5031765,0
iDR3.SPLUS-s26s32.003163,49.34171694044243,-34.174362598107976,0.34714976,0.7458643,3.9349046,"[-0.2687686,-0.6719215,-0.9406901,-1.2094587]",0.0,0.0,0.0,18.706438,1.1359088,99.0,21.322935,99.0,21.004707,22.608614,2.2491457,99.0,20.354605,21.952147,1.215113,99.0,21.540142,99.0,20.105696,23.903336,2.2589734,24.41896,22.36392,99.0,21.64573,24.611828,5.671106,21.67981,0.8130979,24.618847,10.082354,0
iDR3.SPLUS-s26s32.027134,49.1858098350401,-33.44277927242589,0.3821581,0.52622163,2.1106913,"[-0.7870546,-1.9676366,-2.7546911,-3.5417457]",0.0,0.0,0.0,18.523197,1.5061028,99.0,21.322935,22.331127,2.1588955,20.841108,0.873076,99.0,20.354605,21.227604,1.2687634,22.101099,1.0974743,22.338526,4.5402827,21.643656,0.5800957,21.812613,21.83474,21.489588,0.55729616,22.525532,1.6905749,20.21648,0.42562553,99.0,21.080645,0
