ID,RA,DEC,CLASS_STAR,ELLIPTICITY,ELONGATION,FLUX_RADIUS,FWHM,ISOarea,KRON_RADIUS,MU_MAX,A,u_auto,e_u_auto,J0378_auto,e_J0378_auto,J0395_auto,e_J0395_auto,J0410_auto,e_J0410_auto,J0430_auto,e_J0430_auto,g_auto,e_g_auto,J0515_auto,e_J0515_auto,r_auto,e_r_auto,r_aper_6,r_petro,J0660_auto,e_J0660_auto,i_auto,e_i_auto,J0861_auto,e_J0861_auto,z_auto,e_z_auto,Label
iDR3.SPLUS-s27s36.043227,57.55978453756591,-34.56126934148204,0.10995578,0.22102803,1.2837431,"[1.1066449,2.198041,3.5097027,7.0672445]",4.894285,7.0,7.09844,17.499378,1.2795013,22.590353,1.9093143,22.368254,2.473639,20.432316,0.6431164,99.0,20.092134,99.0,20.464106,21.55637,0.7179731,19.999153,0.3449447,21.563208,0.58145195,21.350246,21.479485,21.112803,0.4220411,20.207157,0.1984576,19.927301,0.3106381,19.991037,0.2753335,6
iDR3.SPLUS-s27s36.043239,57.36047613989225,-34.560892426388754,0.39389962,0.6514136,2.8687294,"[1.0175047,2.098215,2.813854,8.543823]",4.997875,1.0,7.4993925,18.06607,1.4239706,22.36287,1.2079357,99.0,20.935532,99.0,20.459126,21.576317,1.464307,99.0,20.464106,21.64222,0.6104271,22.34221,2.3288674,21.749928,0.54138815,99.0,99.0,23.106432,2.0675256,21.36232,0.4514604,22.303108,2.171962,23.335245,4.7022614,6
iDR3.SPLUS-s27s36.043243,58.01116016420921,-34.56082070994169,0.3473415,0.6342602,2.7341843,"[1.2569126,2.0796528,2.9425893,4.7252984]",0.0,0.0,7.6876326,18.45631,1.2185585,21.415083,0.45115128,99.0,20.935532,20.62154,0.5331908,20.509438,0.4954341,22.726429,3.6955624,21.686642,0.57179004,22.918297,3.5564692,21.98786,0.60279804,21.988758,22.2024,24.346582,5.790844,23.93911,4.3346186,20.118681,0.26264796,20.3882,0.280753,6
iDR3.SPLUS-s27s36.043268,56.764323884242245,-34.554822788036795,0.5386532,0.2295788,1.2979913,"[0.981253,2.7639918,5.94604,6.9492345]",2.8322175,7.0,7.431228,17.210901,1.1582057,21.554682,0.65719944,22.187984,1.8685715,20.782639,0.7908779,23.26163,8.4492235,21.77701,2.1011813,20.50023,0.26183432,19.994818,0.33042705,20.700298,0.24703233,20.77508,20.601393,21.227533,0.43969336,20.505468,0.2509246,19.871098,0.2817754,20.667362,0.48923457,6
iDR3.SPLUS-s27s36.043341,57.10849481647429,-34.55979893216024,0.039088253,0.20499706,1.257857,"[1.8503516,3.8187902,5.506832,7.252273]",7.0621595,5.0,6.887658,17.866222,1.7221885,99.0,21.535622,99.0,20.935532,20.549156,0.91900915,20.528402,0.93278545,21.492643,2.207515,20.727568,0.43947944,21.291996,1.4805061,20.238884,0.22457094,20.413258,19.97855,20.029572,0.20353007,19.966661,0.21014412,19.968805,0.42670017,19.737675,0.28867418,6
iDR3.SPLUS-s27s36.043353,57.98163394478546,-34.56432902833367,0.3606431,0.1777848,1.2162266,"[1.3754714,2.855425,4.7784057,7.7670727]",3.3177161,10.0,6.5255713,17.108646,1.646835,21.331177,0.70838547,20.805023,0.6942441,21.986944,3.1654813,20.7045,1.0041443,99.0,20.464106,22.202013,1.5615064,20.578007,0.70323616,20.634512,0.29542962,20.881575,20.91482,20.663557,0.33305043,19.688232,0.14814274,19.417171,0.23376802,19.223656,0.16363151,6
iDR3.SPLUS-s27s36.043358,56.71344800028003,-34.56278504691973,0.3196817,0.35626888,1.5534437,"[1.6050237,3.400318,5.002801,7.267125]",8.291664,3.0,6.5883512,17.80863,1.7318058,99.0,21.535622,20.768833,0.6031605,21.90363,2.6319706,25.379694,70.68463,20.922968,1.1392403,22.01173,1.2474414,22.758787,4.975105,20.679844,0.28793138,21.434885,20.660908,20.243988,0.21205653,20.804598,0.39229366,20.016935,0.38249585,19.956633,0.3026764,6
iDR3.SPLUS-s27s36.043376,57.95153600824161,-34.56539956255026,0.22180055,0.13099319,1.150739,"[1.0447298,1.8064982,2.3607035,3.0914283]",4.8813396,2.0,7.336461,18.223928,1.1679933,99.0,21.535622,99.0,20.935532,21.740656,2.0756986,21.746717,2.1532779,21.748713,2.10344,22.528385,1.7337761,99.0,20.530437,22.104816,0.93845916,22.525476,22.129719,21.437065,0.5575547,21.041386,0.42184052,21.92852,1.9319413,20.256393,0.3474653,6
iDR3.SPLUS-s27s36.043391,57.25873769449638,-34.56436058592201,0.3481555,0.5259576,2.109516,"[0.96881944,1.7030765,2.7668004,4.439305]",0.0,0.0,7.780725,18.298283,1.0038315,99.0,21.535622,22.349426,1.6201698,99.0,20.459126,99.0,20.092134,21.089682,0.7844349,22.264532,0.92800397,21.5916,1.0027966,22.13984,0.66395766,22.693085,22.091627,25.332964,13.754161,21.659763,0.51087576,22.560658,2.3703928,21.375618,0.66712755,6
iDR3.SPLUS-s27s36.043430,56.91835111092789,-34.56583491642026,0.34778932,0.4035328,1.6765381,"[1.1474729,2.2381651,3.3334868,4.700577]",0.0,0.0,7.646057,18.354967,1.3588452,21.96805,1.0346078,99.0,20.935532,22.607456,4.555359,99.0,20.092134,20.064865,0.45358354,23.34922,3.7346764,21.239862,1.0753715,22.154558,0.9858961,22.099981,22.261145,21.39097,0.5363451,20.857656,0.36343095,20.830189,0.7171774,20.246233,0.35087714,6
iDR3.SPLUS-s27s36.043432,57.17586997836031,-34.567938316283026,0.39557055,0.65839505,2.927358,"[1.3112427,2.3684027,3.2048278,5.833203]",4.3767185,1.0,7.11903,18.115612,1.2633818,99.0,21.535622,23.562725,4.698762,21.326977,0.9274237,21.292803,0.92908514,21.677643,1.2894608,21.590656,0.47921422,99.0,20.530437,21.500135,0.3530895,21.482521,21.515491,21.668201,0.4521583,21.93018,0.6291604,21.9418,1.2892454,21.73828,0.8947533,6
iDR3.SPLUS-s27s36.043476,57.62638676291019,-34.56994237631282,0.011109961,0.5089679,2.036527,"[1.0463634,2.3019452,4.361669,5.568207]",8.040104,8.0,7.297268,17.520222,1.9185125,20.980247,0.5327878,20.416035,0.50440854,22.217588,4.0635567,19.848696,0.4674218,99.0,20.464106,21.441462,0.791933,20.183298,0.499783,21.525148,0.6882353,21.339634,20.941488,21.166647,0.5432792,21.026594,0.5157046,20.664745,0.7489242,20.219553,0.41621307,6
iDR3.SPLUS-s27s36.043485,56.80915979915843,-34.56765082462102,0.44043434,0.11660713,1.1319993,"[0.86970997,1.7283814,2.248658,2.7559454]",5.363673,2.0,6.6434436,18.053135,0.9587361,99.0,21.535622,99.0,20.935532,21.065266,0.8156389,99.0,20.092134,20.95562,0.7662356,22.680786,1.5039034,99.0,20.530437,21.991217,0.628796,21.926609,22.296917,21.462105,0.42480934,21.085018,0.33313563,20.250616,0.31297892,23.061293,3.4652355,6
iDR3.SPLUS-s27s36.043495,57.20124739100716,-34.56943915524093,0.0074336613,0.12080032,1.137398,"[1.4784496,2.8602016,5.4025755,8.211568]",6.0557466,15.0,6.729948,17.285166,1.5483966,22.25712,1.6686382,20.725836,0.6490569,99.0,20.459126,21.674765,2.4717624,99.0,20.464106,20.191275,0.24813221,20.597694,0.7222085,20.027565,0.17098826,20.404436,20.15177,21.244436,0.57305044,20.13709,0.22697785,19.437088,0.24204934,20.439703,0.5082501,6
iDR3.SPLUS-s27s36.043502,57.73589655392653,-34.57213007667831,0.091750324,0.5318397,2.1360207,"[1.2470455,2.494892,3.878561,5.1337757]",6.9072247,8.0,7.2657113,17.45601,3.1895819,20.687298,0.6555233,99.0,20.935532,22.488325,8.411982,99.0,20.092134,19.673079,0.62352085,22.475666,3.3067248,20.348722,0.93609244,20.328798,0.36904126,20.846329,20.4157,19.853476,0.2617196,19.892666,0.2930346,19.051304,0.273838,20.008385,0.5524331,6
iDR3.SPLUS-s27s36.043521,57.248357670607575,-34.569691603203786,0.39091226,0.40558958,1.6823393,"[0.83762664,1.8964487,3.5188847,4.5521574]",0.0,1.0,8.397489,17.961151,0.75869286,99.0,21.535622,23.0325,2.741704,22.369223,2.2928934,99.0,20.092134,99.0,20.464106,23.272032,2.116808,20.763916,0.42499536,21.734219,0.41358534,21.672676,22.576637,99.0,21.833641,22.34654,0.86723787,23.524305,5.1962576,20.808983,0.35826054,6
